,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"mbos4115(183)
3.5September 22, 2020
Amber with nice mid foam

Nose: floral sweet malt, with slight citrusy, pine, peach, and…
Show more
Aroma
7
Appearance
4
Flavor
6
Mouthfeel
4
Overall
14",Kabrew Hoptandu IPA,Kabrew Hoptandu IPA,Kabrew,"🇰🇷 Gapyeong-gun, Gyeonggi-do, South Korea",IPA,6.3%,75 IBU,3.45,"Description: Generous amount of hops make rich scent and bitter taste, Recognized by European Beer Star

Spec: ABV 6.3% / IBU 75 / SRM 8…",189 cal per 355ml
1,"Ratman197(23,252)
🇺🇸Denver, United States
3.4May 4, 2018
Poured a clear orange amber with a small lingering ivory head. Aromas of biscuit, earthiness, light grapefruit and light pine. Palate was light to medium bodied and crisp with a smooth…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
5
Overall
13",Kabrew Hoptandu IPA,Kabrew Hoptandu IPA,Kabrew,"🇰🇷 Gapyeong-gun, Gyeonggi-do, South Korea",IPA,6.3%,75 IBU,3.45,"Description: Generous amount of hops make rich scent and bitter taste, Recognized by European Beer Star

Spec: ABV 6.3% / IBU 75 / SRM 8…",189 cal per 355ml
