,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"yy0pp(1,664)
3.2October 12, 2017
Clear golden color with white head. Aroma - Fruity, grassy, hay. Taste - Lightly bitter, citrus, malt, caramel, grass.
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",Kabrew Golden Ale,Kabrew Golden Ale,Kabrew,"🇰🇷 Gapyeong-gun, Gyeonggi-do, South Korea",Blonde Ale / Golden Ale,4.5%,21 IBU,3.25,"This is a medium-bodied British-style ale with a light, golden colour. The malty influence leaves a slightly sweet finish with hints of caramel.",135 cal per 355ml
1,"Sledutah(10,438)
🇺🇸United States
3.3October 1, 2017
On tap at K-Pub in Seoul…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
14",Kabrew Golden Ale,Kabrew Golden Ale,Kabrew,"🇰🇷 Gapyeong-gun, Gyeonggi-do, South Korea",Blonde Ale / Golden Ale,4.5%,21 IBU,3.25,"This is a medium-bodied British-style ale with a light, golden colour. The malty influence leaves a slightly sweet finish with hints of caramel.",135 cal per 355ml
