,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"HighSparkDiesel(687)
🇹🇼Taipei City, Taiwan
2.0June 16, 2021
Random sighting at a Hi Life near Taipower Building; a large can drunk at home. Aroma: yeast, Hall's throat lozenges. Appearance: opaque golden amber, 1-2mm. off-white suds.…
Show more
Aroma
6
Appearance
3
Flavor
3
Mouthfeel
3
Overall
5",Kabrew Kumiho Relax Beer,Kabrew Kumiho Relax Beer,Kabrew,"🇰🇷 Gapyeong-gun, Gyeonggi-do, South Korea",Flavored - Pumpkin / Vegetables,4.2%,14 IBU,2.63,Experience the neat finish of Kumiho Relax Beer with the scent of pleasant lemongrass.,126 cal per 355ml
1,"GoufCustom(3,017)
🇭🇰Hong Kong
2.2April 11, 2021
500ml can bought at K-Mart Korean Food in Sham Shui Po. 

Translucent dull golden colour with trace of misty yeast…
Show more
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
7",Kabrew Kumiho Relax Beer,Kabrew Kumiho Relax Beer,Kabrew,"🇰🇷 Gapyeong-gun, Gyeonggi-do, South Korea",Flavored - Pumpkin / Vegetables,4.2%,14 IBU,2.63,Experience the neat finish of Kumiho Relax Beer with the scent of pleasant lemongrass.,126 cal per 355ml
