,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"FunkyF(2,854)
🇸🇪Örebro, Sweden
2.5September 1, 2018
Flaska från vän som varit i Sydkorea. Ljust gul med vitt skum. Doft av citrus, bröd och hallon. Liknande smak men hallonen är inte med
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",ARK Brown,ARK Brown,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,4.3%,15 IBU,2.98,,129 cal per 355ml
1,"yy0pp(1,664)
2.9October 8, 2017
Bottle. Hazy amber color with white head. Aroma - Herbal, lemon, bread. Taste - Lightly bitter, herbs, citrus, grain.
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",ARK Brown,ARK Brown,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,4.3%,15 IBU,2.98,,129 cal per 355ml
2,"Beerclubsa(147)
🇿🇦Strand, South Africa
3.5January 29, 2017
340ml bottle from South Korea (thanks David!) Pours a hazy orange-gold with a light billowy head with some lacing. Aromas of crackers, citrus and spice. Palate has medium high…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",ARK Brown,ARK Brown,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Blonde Ale / Golden Ale,4.3%,15 IBU,2.98,,129 cal per 355ml
