,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"yy0pp(1,664)
3.2October 8, 2017
Bottle. Hazy golden color with white head. Aroma - SAweet, clove, vanilla, banana. Taste - Light sweetness, banana, malt, clove.
Aroma
7
Appearance
4
Flavor
6
Mouthfeel
3
Overall
12",ARK Cony,ARK Cony,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Weissbier - Hefeweizen,4.5%,13 IBU,3.45,,135 cal per 355ml
1,"Beerclubsa(147)
🇿🇦Strand, South Africa
3.7January 29, 2017
Bottle from South Korea (thanks David!). Pours a pale gold, and cloudy once yeast was roused. A fluffy white head sits atop the beer for a good amount of time with some lacing. Aromas of…
Show more
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
3
Overall
15",ARK Cony,ARK Cony,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Weissbier - Hefeweizen,4.5%,13 IBU,3.45,,135 cal per 355ml
