,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
0,"jmgreenuk(17,115)
🇲🇾Kuala Lumpur, Malaysia
3.3August 3, 2022
330ml bottle from the Beer Bank, Kuala Lumpur. Poured a  hazy light brown colour with a mostly lasting frothy off-white head. The flavour is moderate sweet and bitter, with a smooth,…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",ARK Yeosu Night Ale,ARK Yeosu Night Ale,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Red Ale / International Amber Ale,5.0%,28 IBU,3.40,,150 cal per 355ml
1,"atpsynthase(208)
🇸🇬Singapore
3.4December 8, 2021
330 ml from a FairPrice supermarket. Pours a good amber with slightly more head than I thought; aroma of roasted malts, noble hops; taste of nice caramel and roasted malts with…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",ARK Yeosu Night Ale,ARK Yeosu Night Ale,ARK Korea Craft Brewery,"🇰🇷 Eumseong-gu, Chungcheongbuk-do, South Korea",Red Ale / International Amber Ale,5.0%,28 IBU,3.40,,150 cal per 355ml
