,맥주정보,검색이름,맥주이름,맥주회사,맥주원산지,맥주종류,맥주도수,맥주IBU,맥주평점,맥주설명,맥주칼로리
11,"GhostS(1,004)
🇲🇩Chisinau, Moldova
2.2October 14, 2019
Simple, with no specific or very emphasized face. Just a malty and with some bitter hop in aftertaste. Mediocre.
CAN
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
12,"aboubakar(17)
🇵🇱Wroclaw, Poland
1.9October 12, 2019
Cena w miarę niska, jak za takie w miarę mało wadliwe piwo. Puszka wygląda okej, smakuje słodowo z przebijającym się gdzieniegdzie chmielem. Największa wada to aromat - pachni…
Show more
CAN
Aroma
3
Appearance
1
Flavor
5
Mouthfeel
2
Overall
8",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
13,"caketm(4,444)
🇵🇱Czestochowa, Poland
1.9September 14, 2019
Puszka 0,5 litra, zakupiona w Kauflandzie. Barwa złota, klarowna. Piana średniej wysokości i trwałości. W smaku umiarkowana goryczka.
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
8",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
14,"as1999(479)
🇭🇷Zagreb, Croatia
2.5June 27, 2019
0,5 l
Tesko pivo prije svega.. dosta gorkasto i jako.. na nepcu ostaje gorcina neko vrijeme.. onak, cisti prosjek..
CAN
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
2
Overall
10",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
15,"MichaelAwesome(7,167)
🇩🇪Wanne-Eickel, Germany
1.6May 22, 2019
Wie gewohnt ohne Worte. Dump, derb, laff, simpel. Kaum Aromen. Wasser mit ein wenig Hopfen und Malz.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
16,"gorkogrlo(393)
🇭🇷Zagreb, Croatia
2.4February 24, 2019
Can. Small-medium white head. Pale color. Clear. In aroma toast, grass, grains, light alcohol. In flavor grains, metal, pepper. Light body. Balanced. Overall: Surprisingly ok beer. It is in…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
10",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
17,"jankocro(3)
2.1August 24, 2018
Bottle from Kaufland in Zadar. Drink very cold and very cold only.…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
6",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
18,"ResinousStein14(92)
🇵🇱Poland
2.2April 2, 2018
Jak na tani, marketowy lager, to jest nawet nieźle. Nie jest okrutnie wodniste czy kwaskowate, w zasadzie to jest nawet słodkawe, zbożowe, słodowe. Brakuje jakiejś wyraźniejszej…
Show more
Aroma
3
Appearance
3
Flavor
5
Mouthfeel
4
Overall
7",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
19,"bilcho1(1,522)
🇧🇬Ruse, Bulgaria
1.7March 28, 2018
500ml can, inevitably from Kaufland, drunk at home. Pours crystal clear with a rapidly settling frothy head, minimal lacing, a persistent coarse bead. Mid straw in colour. Slightly metallic…
Show more
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
3
Overall
7",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
20,"z87(3,055)
🇨🇿Frydek-Mistek, Czech Republic
1.8December 1, 2019
Neuvěřitelný marketový patvar, který snad nestojí ani pořádně za větší recenzi...
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Stephans Brau Philsner,Stephans Bräu Premium Pilsener,Kaufland Europe,"🇩🇪 Neckarsulm, Baden-Württemberg, Germany",Pilsener / Pils / Pilsner,4.9%,25 IBU,2.17,"Brewed according to the German Purity Law. 11.2°

Formerly 4.8% and 10.7°.",
